
  PLP001     53°55'49.30"     14°13'36.42"
  PLP002     53°55'26.50"     14°14'58.90"
  PLP003     53°55'27.00"     14°16'21.50"
  PLP004     53°56'05.15"     14°16'16.48"
  PLP005     53°56'15.32"     14°16'49.26"
  PLP006     53°55'49.52"     14°18'05.46"
  PLP007     53°55'10.50"     14°18'10.30"
  PLP008     53°54'56.50"     14°18'58.70"
  PLP009     53°54'43.00"     14°20'40.30"
  PLP010     53°54'45.80"     14°21'58.40"
  PLP011     53°55'09.80"     14°24'08.60"
  PLP012     53°55'46.60"     14°26'08.00"
  PLP013     53°56'04.20"     14°26'52.90"
  PLP014     53°56'59.10"     14°28'32.10"
  PLP015     53°57'47.00"     14°29'49.20"
  PLP016     53°57'55.70"     14°30'12.30"
  PLP017     53°58'14.80"     14°31'57.40"
  PLP018     53°59'13.10"     14°35'13.80"
  PLP019     54°00'25.70"     14°40'46.40"
  PLP020     54°01'04.60"     14°42'46.90"
  PLP021     54°01'26.29"     14°43'29.49"
  PLP022     54°01'28.04"     14°43'34.49"
  PLP023     54°01'43.20"     14°45'18.10"
  PLP024     54°02'11.60"     14°47'26.90"
  PLP025     54°03'20.53"     14°53'42.89"
  PLP026     54°04'09.20"     14°57'26.20"
  PLP027     54°04'59.58"     15°00'29.59"
  PLP028     54°05'01.15"     15°00'36.03"
  PLP029     54°05'34.40"     15°02'52.80"
  PLP030     54°05'50.40"     15°04'10.90"
  PLP031     54°05'54.88"     15°04'36.93"
  PLP032     54°06'02.60"     15°05'31.80"
  PLP033     54°07'14.54"     15°10'37.68"
  PLP034     54°07'56.40"     15°13'36.20"
  PLP035     54°08'04.90"     15°14'28.60"
  PLP036     54°08'40.40"     15°16'38.50"
  PLP037     54°08'54.44"     15°17'04.23"
  PLP038     54°08'54.48"     15°17'04.30"
  PLP039     54°08'54.54"     15°17'04.50"
  PLP040     54°08'56.90"     15°17'56.60"
  PLP041     54°09'17.22"     15°20'32.90"
  PLP042     54°09'34.47"     15°23'14.76"
  PLP043     54°09'34.74"     15°23'15.88"
  PLP044     54°09'57.90"     15°25'55.80"
  PLP045     54°10'02.00"     15°27'19.10"
  PLP046     54°10'01.00"     15°28'50.40"
  PLP047     54°10'07.20"     15°29'43.90"
  PLP048     54°10'28.10"     15°31'17.40"
  PLP049     54°10'53.50"     15°32'28.30"
  PLP050     54°11'26.56"     15°32'56.11"
  PLP051     54°11'21.65"     15°35'30.22"
  PLP052     54°11'31.16"     15°36'26.96"
  PLP053     54°11'49.70"     15°38'29.90"
  PLP054     54°12'08.10"     15°40'44.90"
  PLP055     54°12'39.10"     15°43'22.70"
  PLP056     54°13'07.50"     15°45'32.10"
  PLP057     54°14'03.10"     15°48'50.10"
  PLP058     54°14'26.10"     15°50'33.30"
  PLP059     54°14'37.80"     15°51'54.50"
  PLP060     54°14'51.70"     15°55'06.50"
  PLP061     54°15'03.30"     15°57'50.50"
  PLP062     54°15'30.00"     16°01'26.20"
  PLP063     54°15'48.10"     16°03'10.80"
  PLP064     54°16'18.00"     16°05'19.60"
  PLP065     54°16'46.70"     16°07'00.00"
  PLP066     54°17'08.59"     16°07'50.16"
  PLP067     54°17'45.10"     16°09'41.70"
  PLP068     54°19'06.70"     16°12'31.90"
  PLP069     54°21'26.10"     16°16'23.20"
  PLP070     54°23'29.90"     16°19'23.20"
  PLP071     54°25'01.50"     16°21'06.40"
  PLP072     54°26'29.63"     16°22'17.93"
  PLP073     54°26'31.25"     16°22'19.47"
  PLP074     54°26'42.90"     16°23'23.00"
  PLP075     54°27'24.90"     16°24'07.10"
  PLP076     54°27'53.20"     16°24'30.90"
  PLP077     54°28'36.10"     16°25'12.20"
  PLP078     54°29'16.90"     16°25'55.60"
  PLP079     54°30'04.20"     16°27'08.20"
  PLP080     54°30'28.70"     16°27'48.70"
  PLP081     54°30'52.30"     16°28'30.40"
  PLP082     54°31'01.80"     16°28'49.50"
  PLP083     54°31'22.10"     16°29'35.80"
  PLP084     54°31'39.50"     16°30'18.20"
  PLP085     54°32'15.40"     16°31'15.20"
  PLP086     54°32'26.52"     16°31'21.04"
  PLP087     54°32'37.30"     16°31'51.09"
  PLP088     54°32'33.03"     16°32'05.98"
  PLP089     54°32'54.50"     16°33'49.00"
  PLP090     54°33'06.80"     16°34'24.20"
  PLP091     54°33'28.70"     16°35'55.60"
  PLP092     54°33'39.20"     16°37'00.80"
  PLP093     54°33'58.20"     16°39'32.10"
  PLP094     54°34'12.80"     16°41'23.30"
  PLP095     54°34'10.80"     16°44'38.20"
  PLP096     54°34'11.80"     16°45'58.30"
  PLP097     54°34'23.20"     16°46'50.10"
  PLP098     54°34'42.10"     16°47'38.80"
  PLP099     54°35'01.86"     16°49'25.63"
  PLP100     54°35'13.62"     16°50'00.36"
  PLP101     54°35'30.58"     16°51'00.66"
  PLP102     54°35'31.36"     16°51'03.52"
  PLP103     54°35'28.61"     16°51'49.26"
  PLP104     54°35'30.87"     16°52'34.46"
  PLP105     54°35'39.10"     16°53'54.20"
  PLP106     54°35'55.00"     16°54'45.80"
  PLP107     54°36'32.10"     16°56'19.40"
  PLP108     54°36'57.00"     16°57'30.30"
  PLP109     54°37'41.00"     16°58'48.20"
  PLP110     54°39'35.00"     17°02'02.40"
  PLP111     54°39'44.36"     17°02'06.31"
  PLP112     54°40'08.08"     17°02'38.84"
  PLP113     54°40'11.98"     17°02'59.27"
  PLP114     54°40'43.80"     17°04'37.50"
  PLP115     54°41'27.30"     17°07'06.50"
  PLP116     54°41'53.50"     17°08'49.40"
  PLP117     54°42'31.80"     17°10'52.60"
  PLP118     54°43'31.40"     17°13'38.60"
