#      89.43.233.A     53°55'39.83"     14°13'33.90"
       89.43.233.B     53°59'15.82"     14°14'31.95"
#      89.43.233.C     54°07'34.06"     14°12'05.14"
#      89.43.233.F     54°14'19.68"     14°10'04.87"
#      89.43.233.G     54°16'39.51"     14°04'10.70"
#      89.43.233.H     54°26'28.07"     14°04'41.85"
  
#     95.20.101-R8     54°26'25.83"     14°06'45.11"
#     95.20.101-R9     54°19'04.27"     14°06'21.36"
#    95.20.101-R10     54°18'06.23"     14°09'23.12"
#    95.20.101-R11     54°15'50.24"     14°09'55.12"
#    95.20.101-R12     54°15'02.13"     14°11'56.84"
  
  
#      89.43.233.I     54°07'32.66"     14°14'14.89"  
#      89.43.233.D     54°07'31.31"     14°16'44.07"
       89.43.233.E     54°08'32.30"     14°20'41.03"
       89.43.233.J     54°10'02.29"     14°21'01.02"
       89.43.233.K     54°22'54.21"     14°35'51.70"
       89.43.233.L     54°29'54.17"     14°44'52.76"
       89.43.233.M     54°31'55.46"     14°37'38.05"
        77.13.57-1     54°48'54.04"     14°49'52.67"
        77.13.57-2     54°46'54.07"     15°02'22.55"
        77.13.57-3     54°48'24.06"     15°13'22.44"
        77.13.57-4     54°51'54.05"     15°21'52.35"
        77.13.57-5     54°56'24.02"     15°26'52.29"
        77.13.57-6     55°02'23.98"     15°30'22.25"
        77.13.57-7     55°08'23.94"     15°30'22.23"
       89.54.323-A     55°21'38.49"     16°32'00.55"
       89.54.323-B     55°30'00.09"     17°00'00.55"
       89.54.323-C     55°35'14.19"     17°22'41.35"
       89.54.323-D     55°46'59.19"     18°00'00.55"
       89.54.323-E     55°55'17.67"     18°21'48.55"
       89.54.323-F     55°52'52.65"     18°54'00.55"
90.74.441-Pl-Se-Ru     55°52'47.37"     18°55'33.25"
        86.16.85-D     55°50'59.06"     18°56'04.77"
        86.16.85-C     55°20'47.05"     19°03'40.87"
        86.16.85-B     54°48'53.04"     19°20'34.98"
        86.16.85-A     54°40'11.03"     19°18'47.01"
      86.16.85-T.9     54°36'14.04"     19°24'15.02"
#	 86.16.85-M.10     54°27'27.68"     19°38'24.01"
