
89.43.233-A 53°55'39.85" 14°13'33.88"
89.43.233-B 53°59'15.84" 14°14'31.92"
89.43.233-C 54°07'34.08" 14°12'05.12"

89.43.233-I 54°07'32.69" 14°14'14.87"
89.43.233-J 54°10'02.32" 14°21'01.00"
89.43.233-K 54°22'54.26" 14°35'51.68"
89.43.233-L 54°29'54.23" 14°44'52.74"
89.43.233-M 54°31'55.51" 14°37'38.03"



77.13.57-1 54°48'54.2" 14°49'52.6"
77.13.57-2 54°46'54.2" 15°02'22.5"
77.13.57-3 54°48'24.2" 15°13'22.4"
77.13.57-4 54°51'54.2" 15°21'52.3"
77.13.57-5 54°56'24.2" 15°26'52.2"
77.13.57-6 55°02'24.1" 15°30'22.2"
77.13.57-7 55°08'24.1" 15°30'22.2"



89.54.323-A 55°21'38.5" 16°32'00.5"
89.54.323-B 55°30'00.1" 17°00'00.5"
89.54.323-C 55°35'14.2" 17°22'41.3"
89.54.323-D 55°46'59.2" 18°00'00.5"
89.54.323-E 55°55'17.6" 18°21'48.5"
89.54.323-F 55°52'52.6" 18°54'00.5"



90.74.441-Pl-Se-Ru 55°52'47.4" 18°55'33.3"

86.16.85-D 55°50'59.0" 18°56'04.8"
86.16.85-C 55°20'47.0" 19°03'40.9"
86.16.85-B 54°48'53.0" 19°20'35.0"
86.16.85-A 54°40'11.03" 19°18'47.01"
86.16.85-MT-9 54°36'14.04" 19°24'15.02"
86.16.85-L-10-2439   54°27'27.68" 19°38'24.01"


